seed,method,site,n_observed,first_date,last_date,calendar_span,observed_dry,expected_dry,simulation_mean,lo,hi,included,rho,rho_used,rho_pairs
44,raw_unclipped,55000900097170,48,2020-09-11,2020-10-29,49,46,39.6225147885,39.4094,9.0,48.0,True,1.0,1.0,81
44,raw_unclipped,55000900099610,39,2020-09-11,2020-10-20,40,0,0.56336466,0.5574,0.0,2.0,True,0.0,0.0,75
44,raw_unclipped,55000900100137,40,2020-09-11,2020-10-21,41,36,38.1797728294,38.1861,30.0,40.0,True,1.0,1.0,69
44,raw_unclipped,55000900131558,42,2020-09-11,2020-10-22,42,0,1.72899908,1.7381,0.0,5.0,True,0.0,0.0,79
44,raw_unclipped,55000900167054,41,2020-09-11,2020-10-21,41,0,0.5770664199999999,0.5693,0.0,2.0,True,0.0,0.0,73
44,raw_unclipped,55000900167692,35,2020-09-11,2020-10-20,40,0,3.4637307500000003,3.4606,1.0,7.0,False,0.0,0.0,80
44,raw_unclipped,55000900167704,41,2020-09-11,2020-10-21,41,0,0.8855762600000002,0.8984,0.0,3.0,True,0.0,0.0,84
44,raw_unclipped,55000900201800,41,2020-09-11,2020-10-22,42,0,0.41292448999999976,0.4105,0.0,2.0,True,0.0,0.0,74
44,raw_unclipped,55000900201811,43,2020-09-11,2020-10-23,43,0,0.3862635200000004,0.3862,0.0,2.0,True,0.0,0.0,84
44,raw_unclipped,55000900202948,43,2020-09-11,2020-10-23,43,0,0.4483038199999998,0.4552,0.0,2.0,True,0.0,0.0,77
44,raw_unclipped,55000900235848,41,2020-09-11,2020-10-21,41,0,0.68154255,0.6779,0.0,3.0,True,0.0,0.0,84
44,raw_unclipped,55000900236525,40,2020-09-11,2020-10-20,40,0,1.2784691700000002,1.2963,0.0,4.0,True,0.0,0.0,84
44,raw_unclipped,55000900237668,48,2020-09-11,2020-10-28,48,42,45.985056397609995,45.9769,36.0,48.0,True,0.9271726499455306,0.9271726499455306,64
44,raw_unclipped,55000900271029,41,2020-09-11,2020-10-21,41,0,1.24464263,1.2564,0.0,4.0,True,0.0,0.0,84
44,raw_unclipped,55000900271635,42,2020-09-11,2020-10-22,42,0,2.42626686,2.4085,0.0,6.0,True,0.0,0.0,77
44,raw_unclipped,55000900272209,40,2020-09-11,2020-10-20,40,0,1.55866968,1.5529,0.0,4.0,True,0.0,0.0,80
44,raw_unclipped,55000900272714,41,2020-09-11,2020-10-21,41,0,0.40653481999999996,0.4112,0.0,2.0,True,0.0,0.0,78
